dataset_version,record_id,record_type,source,product_id,acquisition_date,aoi_name,crs,resolution_meters,relative_path,sha256,parent_record_ids,processing_status,created_at_utc
0.1.0,aligned-after-S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317-B02_10m,aligned_satellite_band,derived_from_raw_satellite_band,S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317,2025-03-15,Hyderabad Western Growth Corridor,EPSG:32644,10.0,data/processed/aligned/after/B02_10m.tif,343f9d44f07832a709bc170f28dc1c6eda2be2af9712655b0016889805c925fb,raw-after-S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317-B02_10m,aligned_10m,2026-07-16T05:29:21.961164+00:00
0.1.0,aligned-after-S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317-B03_10m,aligned_satellite_band,derived_from_raw_satellite_band,S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317,2025-03-15,Hyderabad Western Growth Corridor,EPSG:32644,10.0,data/processed/aligned/after/B03_10m.tif,cca249da5f14280ccad6a3fe4230e3224e55ed7083cedb2f15d72360eeba8045,raw-after-S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317-B03_10m,aligned_10m,2026-07-16T05:29:21.961164+00:00
0.1.0,aligned-after-S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317-B04_10m,aligned_satellite_band,derived_from_raw_satellite_band,S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317,2025-03-15,Hyderabad Western Growth Corridor,EPSG:32644,10.0,data/processed/aligned/after/B04_10m.tif,8ea479864f560893d9c98983da3e0bac0353ebdfe3cf65ebb1d4b3c2939fe822,raw-after-S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317-B04_10m,aligned_10m,2026-07-16T05:29:21.961164+00:00
0.1.0,aligned-after-S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317-B08_10m,aligned_satellite_band,derived_from_raw_satellite_band,S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317,2025-03-15,Hyderabad Western Growth Corridor,EPSG:32644,10.0,data/processed/aligned/after/B08_10m.tif,e879f2b4a0578ffbed0486fb346c4d78ebc2c4ac4c6e87ddbbd2f9d719355fac,raw-after-S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317-B08_10m,aligned_10m,2026-07-16T05:29:21.961164+00:00
0.1.0,aligned-after-S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317-B11_20m,aligned_satellite_band,derived_from_raw_satellite_band,S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317,2025-03-15,Hyderabad Western Growth Corridor,EPSG:32644,10.0,data/processed/aligned/after/B11_20m.tif,ee523278675151f84025496513e7dca895ed3c97ad54e2f96361a6e38aba03cc,raw-after-S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317-B11_20m,aligned_10m,2026-07-16T05:29:21.961164+00:00
0.1.0,aligned-after-S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317-B12_20m,aligned_satellite_band,derived_from_raw_satellite_band,S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317,2025-03-15,Hyderabad Western Growth Corridor,EPSG:32644,10.0,data/processed/aligned/after/B12_20m.tif,5cadbd1d568ff5aa49de2d7a9da72bd46a44cb6c857d8a863b9608763acb064e,raw-after-S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317-B12_20m,aligned_10m,2026-07-16T05:29:21.961164+00:00
0.1.0,aligned-after-S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317-SCL_20m,aligned_satellite_band,derived_from_raw_satellite_band,S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317,2025-03-15,Hyderabad Western Growth Corridor,EPSG:32644,10.0,data/processed/aligned/after/SCL_20m.tif,223dc626e543e6c867610586eb8a4eca6fff9cdd4b6c61e5b1624c4d4f79c32e,raw-after-S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317-SCL_20m,aligned_10m,2026-07-16T05:29:21.961164+00:00
0.1.0,aligned-before-S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433-B02_10m,aligned_satellite_band,derived_from_raw_satellite_band,S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433,2021-03-14,Hyderabad Western Growth Corridor,EPSG:32644,10.0,data/processed/aligned/before/B02_10m.tif,a01b845218f24d4b146b6689a038db9e83c2ef1c3a82da53a28034f6aca84170,raw-before-S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433-B02_10m,aligned_10m,2026-07-16T05:29:21.961164+00:00
0.1.0,aligned-before-S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433-B03_10m,aligned_satellite_band,derived_from_raw_satellite_band,S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433,2021-03-14,Hyderabad Western Growth Corridor,EPSG:32644,10.0,data/processed/aligned/before/B03_10m.tif,ea6e1807acdfbde5efc4eb731ed1618ed9ac34ed06c100ee656425f68c6108e2,raw-before-S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433-B03_10m,aligned_10m,2026-07-16T05:29:21.961164+00:00
0.1.0,aligned-before-S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433-B04_10m,aligned_satellite_band,derived_from_raw_satellite_band,S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433,2021-03-14,Hyderabad Western Growth Corridor,EPSG:32644,10.0,data/processed/aligned/before/B04_10m.tif,8200e144af0cad7a30e6475bdea13c8db9840a2508731f0c9341a8e228a10c8c,raw-before-S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433-B04_10m,aligned_10m,2026-07-16T05:29:21.961164+00:00
0.1.0,aligned-before-S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433-B08_10m,aligned_satellite_band,derived_from_raw_satellite_band,S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433,2021-03-14,Hyderabad Western Growth Corridor,EPSG:32644,10.0,data/processed/aligned/before/B08_10m.tif,014e86d0cd6b51fc70870bfa3cfc9a5784499c375f5285acb22e5c346bbb4c0b,raw-before-S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433-B08_10m,aligned_10m,2026-07-16T05:29:21.961164+00:00
0.1.0,aligned-before-S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433-B11_20m,aligned_satellite_band,derived_from_raw_satellite_band,S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433,2021-03-14,Hyderabad Western Growth Corridor,EPSG:32644,10.0,data/processed/aligned/before/B11_20m.tif,cf78cccda8f892d06d362d474b77ee3831d79246c19efb56dddf27e4590037cd,raw-before-S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433-B11_20m,aligned_10m,2026-07-16T05:29:21.961164+00:00
0.1.0,aligned-before-S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433-B12_20m,aligned_satellite_band,derived_from_raw_satellite_band,S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433,2021-03-14,Hyderabad Western Growth Corridor,EPSG:32644,10.0,data/processed/aligned/before/B12_20m.tif,00df53ddb6699619371864fcdc22cf1e9bb9bcb74d2aca318335ef0d04378f4e,raw-before-S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433-B12_20m,aligned_10m,2026-07-16T05:29:21.961164+00:00
0.1.0,aligned-before-S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433-SCL_20m,aligned_satellite_band,derived_from_raw_satellite_band,S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433,2021-03-14,Hyderabad Western Growth Corridor,EPSG:32644,10.0,data/processed/aligned/before/SCL_20m.tif,409df1db369aedc155dd40d3eb00003c062ec5c4ee32c0f47cef14f8431803c7,raw-before-S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433-SCL_20m,aligned_10m,2026-07-16T05:29:21.961164+00:00
0.1.0,patch-GW_R000_C000-after,multiband_satellite_patch,derived_from_aligned_satellite_bands,S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317,2025-03-15,Hyderabad Western Growth Corridor,EPSG:32644,10.0,data/processed/patches/after/GW_R000_C000.tif,420584bff688acc330793b7b04917380abf0e825a5a49c6c37f4e0f9ae566b6c,aligned-after-S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317-B02_10m;aligned-after-S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317-B03_10m;aligned-after-S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317-B04_10m;aligned-after-S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317-B08_10m;aligned-after-S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317-B11_20m;aligned-after-S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317-B12_20m,patch_generated,2026-07-16T05:40:11.236187+00:00
0.1.0,patch-GW_R000_C000-before,multiband_satellite_patch,derived_from_aligned_satellite_bands,S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433,2021-03-14,Hyderabad Western Growth Corridor,EPSG:32644,10.0,data/processed/patches/before/GW_R000_C000.tif,f3c5a250c433f5b6779919defca05038adf7ed9d8d2120392e36f08dfaa9186b,aligned-before-S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433-B02_10m;aligned-before-S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433-B03_10m;aligned-before-S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433-B04_10m;aligned-before-S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433-B08_10m;aligned-before-S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433-B11_20m;aligned-before-S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433-B12_20m,patch_generated,2026-07-16T05:40:11.236187+00:00
0.1.0,patch-GW_R000_C000-pair-mask,patch_valid_mask,derived_from_paired_valid_pixel_mask,before_after_pair,,Hyderabad Western Growth Corridor,EPSG:32644,10.0,data/processed/patches/masks/GW_R000_C000.tif,f3388b156576982fecaeed1363ddfecb4203ac42d75a39a195a09837f0f1ccb4,quality-mask-before-after-pair,patch_mask_generated,2026-07-16T05:40:11.236187+00:00
0.1.0,patch-GW_R000_C001-after,multiband_satellite_patch,derived_from_aligned_satellite_bands,S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317,2025-03-15,Hyderabad Western Growth Corridor,EPSG:32644,10.0,data/processed/patches/after/GW_R000_C001.tif,4648f655acba94bf7411945483f948c0d25eefaa1cd75ca7a3d14258c9f462e5,aligned-after-S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317-B02_10m;aligned-after-S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317-B03_10m;aligned-after-S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317-B04_10m;aligned-after-S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317-B08_10m;aligned-after-S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317-B11_20m;aligned-after-S2A_MSIL2A_20250315T051241_N0511_R019_T44QKE_20250315T113317-B12_20m,patch_generated,2026-07-16T05:40:11.236187+00:00
0.1.0,patch-GW_R000_C001-before,multiband_satellite_patch,derived_from_aligned_satellite_bands,S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433,2021-03-14,Hyderabad Western Growth Corridor,EPSG:32644,10.0,data/processed/patches/before/GW_R000_C001.tif,ce1d8c3b3e3f18beaa2bcd5ffdbd6fd51246133c8350f1a294f993473b737d0e,aligned-before-S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433-B02_10m;aligned-before-S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433-B03_10m;aligned-before-S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433-B04_10m;aligned-before-S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433-B08_10m;aligned-before-S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433-B11_20m;aligned-before-S2A_MSIL2A_20210314T050651_N0500_R019_T44QKE_20230528T183433-B12_20m,patch_generated,2026-07-16T05:40:11.236187+00:00
0.1.0,patch-GW_R000_C001-pair-mask,patch_valid_mask,derived_from_paired_valid_pixel_mask,before_after_pair,,Hyderabad Western Growth Corridor,EPSG:32644,10.0,data/processed/patches/masks/GW_R000_C001.tif,97814337d854abcbb4c41e2bdc8cae894a89deca91dce4691075f4c9c083586f,quality-mask-before-after-pair,patch_mask_generated,2026-07-16T05:40:11.236187+00:00
