patch_id,row_index,column_index,row_offset,column_offset,patch_size_pixels,left,bottom,right,top,center_x,center_y,crs,valid_fraction,invalid_fraction,accepted,rejection_reason,before_path,after_path,mask_path,before_sha256,after_sha256,mask_sha256,split
GW_R000_C000,0,0,0,0,256,213050.0,1931020.0,215610.0,1933580.0,214330.0,1932300.0,EPSG:32644,0.9864502,0.0135498,True,,data\processed\patches\before\GW_R000_C000.tif,data\processed\patches\after\GW_R000_C000.tif,data\processed\patches\masks\GW_R000_C000.tif,f3c5a250c433f5b6779919defca05038adf7ed9d8d2120392e36f08dfaa9186b,420584bff688acc330793b7b04917380abf0e825a5a49c6c37f4e0f9ae566b6c,f3388b156576982fecaeed1363ddfecb4203ac42d75a39a195a09837f0f1ccb4,train
GW_R000_C001,0,1,0,256,256,215610.0,1931020.0,218170.0,1933580.0,216890.0,1932300.0,EPSG:32644,0.98730469,0.01269531,True,,data\processed\patches\before\GW_R000_C001.tif,data\processed\patches\after\GW_R000_C001.tif,data\processed\patches\masks\GW_R000_C001.tif,ce1d8c3b3e3f18beaa2bcd5ffdbd6fd51246133c8350f1a294f993473b737d0e,4648f655acba94bf7411945483f948c0d25eefaa1cd75ca7a3d14258c9f462e5,97814337d854abcbb4c41e2bdc8cae894a89deca91dce4691075f4c9c083586f,train
GW_R000_C002,0,2,0,512,256,218170.0,1931020.0,220730.0,1933580.0,219450.0,1932300.0,EPSG:32644,0.99755859,0.00244141,True,,data\processed\patches\before\GW_R000_C002.tif,data\processed\patches\after\GW_R000_C002.tif,data\processed\patches\masks\GW_R000_C002.tif,69425486073cfbb8c5188c487eac17483254ee88d569304faffb68bb105cca6c,9290d6d18a53b32cb8c10d7f9f6c815746649e4b97e1df228f21f273e671f5ec,7231e06e8618ce35e10a5b49b2799c5a9e509f4d2f8e1f5ad9f7f7734c0423a5,train
GW_R000_C003,0,3,0,768,256,220730.0,1931020.0,223290.0,1933580.0,222010.0,1932300.0,EPSG:32644,0.99432373,0.00567627,True,,data\processed\patches\before\GW_R000_C003.tif,data\processed\patches\after\GW_R000_C003.tif,data\processed\patches\masks\GW_R000_C003.tif,7d3a7416192811cf4e4565ddd4b3d41ecc7a888095b40f113cce347be8d3b287,55400c6c53da30b4349cbb81743d6ed8b0bf5417ad81f6babfe89bfb4dc7cb5f,62acf3cd81a153469d5f7cf4eaff95c7f49f2f7d158f09074ac62b03ac7287ef,validation
GW_R000_C004,0,4,0,1024,256,223290.0,1931020.0,225850.0,1933580.0,224570.0,1932300.0,EPSG:32644,0.9989624,0.0010376,True,,data\processed\patches\before\GW_R000_C004.tif,data\processed\patches\after\GW_R000_C004.tif,data\processed\patches\masks\GW_R000_C004.tif,5e09b374f05c6ad11d8d0612d61a2829037859009201a453ac93ddfc63ffdcd4,935561759208b7d9d2c3f7dd081761535d86b8493cacb3c9d7300d4de1b6eda7,fad16e5fd56f6549848182cac86fb7fa493c89da905f051fed88fef3757d2c27,test
GW_R001_C000,1,0,256,0,256,213050.0,1928460.0,215610.0,1931020.0,214330.0,1929740.0,EPSG:32644,0.98583984,0.01416016,True,,data\processed\patches\before\GW_R001_C000.tif,data\processed\patches\after\GW_R001_C000.tif,data\processed\patches\masks\GW_R001_C000.tif,77a94e31e09eddf63263d0d536d4445fb9549ac64970d2e02219775783aa8551,f2121a39fabd0335caf82c03a2f513f3a40c6b2ac9784f90993f957651b29048,eb1de5482a43f00656f3224eeab945f740ab5ab848079bab80f508d66cd2085d,train
GW_R001_C001,1,1,256,256,256,215610.0,1928460.0,218170.0,1931020.0,216890.0,1929740.0,EPSG:32644,0.99499512,0.00500488,True,,data\processed\patches\before\GW_R001_C001.tif,data\processed\patches\after\GW_R001_C001.tif,data\processed\patches\masks\GW_R001_C001.tif,4f289f05234f7c2a9cd7043aaa5bf7b8e17c7c352557264c430e1d9680786263,17107f49ee90ae90c16baaca00cee1d2a5ef98ffab8e1fa29afe8f13c8daae4f,16cd62321f51fa2f0ea82aab2bc35b14b7032d4cdd3e1cc9d880aa96103a5640,train
GW_R001_C002,1,2,256,512,256,218170.0,1928460.0,220730.0,1931020.0,219450.0,1929740.0,EPSG:32644,0.99664307,0.00335693,True,,data\processed\patches\before\GW_R001_C002.tif,data\processed\patches\after\GW_R001_C002.tif,data\processed\patches\masks\GW_R001_C002.tif,24da1ffcea183b65a26c9faeb9c6a39e7483c4003c7660d1e68ce206305b6a0c,97c18188622161554b93920a7d09ecf3b741a8864bd616d5490c2dab11b2db7c,06ca4cd0fd871e8117135d26ddeb5092d323a6b5ec6f437cc0ce0076e88f3eff,train
GW_R001_C003,1,3,256,768,256,220730.0,1928460.0,223290.0,1931020.0,222010.0,1929740.0,EPSG:32644,0.99603271,0.00396729,True,,data\processed\patches\before\GW_R001_C003.tif,data\processed\patches\after\GW_R001_C003.tif,data\processed\patches\masks\GW_R001_C003.tif,017e6d60db303dd8a0315425210aee14044e5384b6ca16efa5001bac6141e4e9,644cf47fe521587aef5bb4190867ac11998a77a39440c30a6dd7cfbcadcf25de,456ed99408f56c3c04a815c67cfcd750fb57518e5109794bb3648da3dc6ccbd7,validation
GW_R001_C004,1,4,256,1024,256,223290.0,1928460.0,225850.0,1931020.0,224570.0,1929740.0,EPSG:32644,1.0,0.0,True,,data\processed\patches\before\GW_R001_C004.tif,data\processed\patches\after\GW_R001_C004.tif,data\processed\patches\masks\GW_R001_C004.tif,f62857bae4077bcac7d5b2c018b6c6d07d67f81d2dd5f55cb9d1c3add219d1a1,f57c6ea80c09f205aeeb6decf71cb80835b60f7ea147f0c477cdd78b624acd56,fe0cbad6671633c128af2ca1159ad9f77a09f606443950cab68905ffee9a4087,test
