threshold,true_positive,false_positive,false_negative,true_negative,precision,recall,f1,iou,accuracy
0.01,53761,1584639,0,0,0.0328131103515625,1.0,0.06354123514251894,0.0328131103515625,0.0328131103515625
0.02,53761,1584639,0,0,0.0328131103515625,1.0,0.06354123514251894,0.0328131103515625,0.0328131103515625
0.03,53761,1584639,0,0,0.0328131103515625,1.0,0.06354123514251894,0.0328131103515625,0.0328131103515625
0.04,53761,1584639,0,0,0.0328131103515625,1.0,0.06354123514251894,0.0328131103515625,0.0328131103515625
0.05,53761,1584639,0,0,0.0328131103515625,1.0,0.06354123514251894,0.0328131103515625,0.0328131103515625
0.06,53761,1584639,0,0,0.0328131103515625,1.0,0.06354123514251894,0.0328131103515625,0.0328131103515625
0.07,53761,1584639,0,0,0.0328131103515625,1.0,0.06354123514251894,0.0328131103515625,0.0328131103515625
0.08,53761,1584639,0,0,0.0328131103515625,1.0,0.06354123514251894,0.0328131103515625,0.0328131103515625
0.09,53761,1584639,0,0,0.0328131103515625,1.0,0.06354123514251894,0.0328131103515625,0.0328131103515625
0.1,53761,1584639,0,0,0.0328131103515625,1.0,0.06354123514251894,0.0328131103515625,0.0328131103515625
0.11,53761,1583691,0,948,0.03283210744498159,1.0,0.06357685282693545,0.03283210744498159,0.0333917236328125
0.12,53761,1566865,0,17774,0.03317298377293713,1.0,0.06421573984986745,0.03317298377293713,0.0436614990234375
0.13,53636,1501443,125,83196,0.0344908522332306,0.9976748944402076,0.06667661172024564,0.03448808002037032,0.083515625
0.14,53055,1323319,706,261320,0.038546935643945617,0.9868678037982924,0.07419579270488451,0.03852717343945159,0.1918792724609375
0.15,52249,954320,1512,630319,0.05190801624131083,0.9718755231487509,0.09855233747984118,0.05183016047321594,0.4166064453125
0.16,50619,588323,3142,996316,0.07922315327525817,0.9415561466490578,0.14614921546463636,0.07883547946997589,0.6389984130859375
0.17,48024,377195,5737,1207444,0.11293945002457557,0.8932869552277674,0.2005261180007516,0.1114359702614652,0.76627685546875
0.18,44484,261866,9277,1322773,0.1452064631956912,0.8274399657744461,0.2470571573764756,0.14093851286486897,0.8345074462890625
0.19,41073,193023,12688,1391616,0.17545366003690793,0.7639924852588308,0.28537086122623384,0.1664329940352697,0.8744439697265625
0.2,36997,147235,16764,1437404,0.2008174475661123,0.6881754431651197,0.31090830402574865,0.18406833966845113,0.8999029541015625
0.21,32113,114957,21648,1469682,0.21835180526280001,0.5973289187329105,0.31980122590635907,0.19033535248165578,0.9166229248046875
0.22,27944,91940,25817,1492699,0.2330919889226252,0.5197819981027139,0.3218520544789657,0.19179003575816225,0.9281268310546875
0.23,25072,76281,28689,1508358,0.24737304273183822,0.46636037276092335,0.32327191613909767,0.19279924947324711,0.935931396484375
0.24,22796,64334,30965,1520305,0.2616320440720762,0.42402485072822305,0.3235976747982483,0.19303103433676277,0.9418341064453125
0.25,20672,54735,33089,1529904,0.27413900566260424,0.38451665705623034,0.3200792766010157,0.19053236985695327,0.946396484375
0.26,19033,47313,34728,1537326,0.28687486811563623,0.3540298729562322,0.31693406712348154,0.18830757662702574,0.9499261474609375
0.27,17651,41341,36110,1543298,0.29921006238133985,0.3283235058871673,0.3130914476776671,0.1856007234337869,0.9527276611328125
