threshold,true_positive,false_positive,false_negative,true_negative,precision,recall,f1,iou,accuracy
0.01,53761,1584639,0,0,0.0328131103515625,1.0,0.06354123514251894,0.0328131103515625,0.0328131103515625
0.02,53761,1584639,0,0,0.0328131103515625,1.0,0.06354123514251894,0.0328131103515625,0.0328131103515625
0.03,53761,1584639,0,0,0.0328131103515625,1.0,0.06354123514251894,0.0328131103515625,0.0328131103515625
0.04,53761,1584639,0,0,0.0328131103515625,1.0,0.06354123514251894,0.0328131103515625,0.0328131103515625
0.05,53761,1584639,0,0,0.0328131103515625,1.0,0.06354123514251894,0.0328131103515625,0.0328131103515625
0.06,53761,1584639,0,0,0.0328131103515625,1.0,0.06354123514251894,0.0328131103515625,0.0328131103515625
0.07,53761,1584639,0,0,0.0328131103515625,1.0,0.06354123514251894,0.0328131103515625,0.0328131103515625
0.08,53761,1584639,0,0,0.0328131103515625,1.0,0.06354123514251894,0.0328131103515625,0.0328131103515625
0.09,53761,1584639,0,0,0.0328131103515625,1.0,0.06354123514251894,0.0328131103515625,0.0328131103515625
0.1,53761,1584639,0,0,0.0328131103515625,1.0,0.06354123514251894,0.0328131103515625,0.0328131103515625
0.11,53761,1584639,0,0,0.0328131103515625,1.0,0.06354123514251894,0.0328131103515625,0.0328131103515625
0.12,53761,1584639,0,0,0.0328131103515625,1.0,0.06354123514251894,0.0328131103515625,0.0328131103515625
0.13,53761,1584639,0,0,0.0328131103515625,1.0,0.06354123514251894,0.0328131103515625,0.0328131103515625
0.14,53761,1584639,0,0,0.0328131103515625,1.0,0.06354123514251894,0.0328131103515625,0.0328131103515625
0.15,53761,1584639,0,0,0.0328131103515625,1.0,0.06354123514251894,0.0328131103515625,0.0328131103515625
0.16,53761,1584639,0,0,0.0328131103515625,1.0,0.06354123514251894,0.0328131103515625,0.0328131103515625
0.17,53761,1584639,0,0,0.0328131103515625,1.0,0.06354123514251894,0.0328131103515625,0.0328131103515625
0.18,53761,1584639,0,0,0.0328131103515625,1.0,0.06354123514251894,0.0328131103515625,0.0328131103515625
0.19,53761,1584639,0,0,0.0328131103515625,1.0,0.06354123514251894,0.0328131103515625,0.0328131103515625
0.2,53761,1584629,0,10,0.032813310628116626,1.0,0.0635416106482223,0.032813310628116626,0.0328192138671875
0.21,53667,1584146,94,493,0.03276747711735101,0.9982515206190361,0.06345214575300874,0.03276559658149089,0.033056640625
0.22,51954,1570168,1807,14471,0.03202841709809743,0.9663882740276408,0.062001941662991986,0.03199277800938342,0.0405426025390625
0.23,43769,1453891,9992,130748,0.029224924215108902,0.8141403619724336,0.05642440059790347,0.029031235324862768,0.1065167236328125
0.24,24731,951744,29030,632895,0.02532681328247011,0.46001748479380966,0.048010358791577855,0.02459560121530972,0.401383056640625
0.25,11070,381089,42691,1203550,0.02822834615551345,0.20591134837521624,0.04965016146393972,0.025457054156605725,0.74134521484375
0.26,5405,209762,48356,1374877,0.02512002305186204,0.10053756440542401,0.04019663255592575,0.02051054367170987,0.842457275390625
0.27,3668,170580,50093,1414059,0.021050456820164362,0.06822789754654861,0.032174168563521614,0.016350109877374175,0.8653118896484375
