region,split,threshold,width,height,evaluated_pixels,ignored_pixels,true_positive,false_positive,false_negative,true_negative,precision,recall,f1_score,iou,accuracy,change_prevalence,predicted_change_fraction,prediction_path,difference_preview_path
abudhabi,train,0.12109375,785,799,627215,0,7026,60385,16566,543238,0.10422631321297711,0.29781281790437436,0.15441249189587156,0.08366576562630244,0.8773132020120692,0.03761389635133088,0.10747670256610573,reports\week2\baselines\band_diff_otsu\predictions\train\abudhabi.png,reports\week2\baselines\band_diff_otsu\difference_previews\train\abudhabi.png
aguasclaras,train,0.12109375,525,471,247275,0,1389,25654,3225,217007,0.051362644676995896,0.3010403120936281,0.08775310357898727,0.045890048896524385,0.883210999898898,0.018659387321807705,0.10936406834496007,reports\week2\baselines\band_diff_otsu\predictions\train\aguasclaras.png,reports\week2\baselines\band_diff_otsu\difference_previews\train\aguasclaras.png
beihai,train,0.12109375,772,902,696344,0,10409,121092,6909,557934,0.07915529159474072,0.601050929668553,0.13988805192885317,0.07520410374972906,0.8161813701274083,0.024869891892512895,0.18884488126558138,reports\week2\baselines\band_diff_otsu\predictions\train\beihai.png,reports\week2\baselines\band_diff_otsu\difference_previews\train\beihai.png
beirut,train,0.12109375,1070,1180,1262600,0,21179,470951,12739,757731,0.04303537683132506,0.6244177133085678,0.08052116917087414,0.04194949580980413,0.6169095517186758,0.026863614763187074,0.38977506732140027,reports\week2\baselines\band_diff_otsu\predictions\train\beirut.png,reports\week2\baselines\band_diff_otsu\difference_previews\train\beirut.png
bercy,train,0.12109375,360,395,142200,0,632,68451,414,72703,0.009148415673899513,0.6042065009560229,0.01802392733391322,0.009093917723067182,0.5157172995780591,0.007355836849507736,0.4858157524613221,reports\week2\baselines\band_diff_otsu\predictions\train\bercy.png,reports\week2\baselines\band_diff_otsu\difference_previews\train\bercy.png
bordeaux,train,0.12109375,461,517,238337,0,1475,79228,905,156729,0.01827689181319158,0.6197478991596639,0.03550666201268611,0.018074208410940103,0.6637827949500078,0.009985860357393104,0.33860877664819145,reports\week2\baselines\band_diff_otsu\predictions\train\bordeaux.png,reports\week2\baselines\band_diff_otsu\difference_previews\train\bordeaux.png
cupertino,train,0.12109375,788,1015,799820,0,13115,48123,5827,732755,0.2141644077206963,0.6923767289620948,0.3271389373908705,0.19555654961604413,0.9325473231477083,0.0236828286364432,0.07656472706358931,reports\week2\baselines\band_diff_otsu\predictions\train\cupertino.png,reports\week2\baselines\band_diff_otsu\difference_previews\train\cupertino.png
hongkong,train,0.12109375,540,695,375300,0,7396,39653,5983,322268,0.1571978150438904,0.5528066372673593,0.24478718474879196,0.13946296575652437,0.8784012789768185,0.03564881428190781,0.12536370903277377,reports\week2\baselines\band_diff_otsu\predictions\train\hongkong.png,reports\week2\baselines\band_diff_otsu\difference_previews\train\hongkong.png
mumbai,train,0.12109375,557,858,477906,0,3732,12205,8512,453457,0.23417205245654765,0.30480235217249263,0.2648593023668429,0.15264427992964946,0.9566504710131281,0.025620101024050754,0.03334756207287626,reports\week2\baselines\band_diff_otsu\predictions\train\mumbai.png,reports\week2\baselines\band_diff_otsu\difference_previews\train\mumbai.png
nantes,train,0.12109375,582,522,303804,0,2325,30554,1124,269801,0.0707138294960309,0.674108437228182,0.12800044043162298,0.06837631973649384,0.8957288251635923,0.011352714249976959,0.10822438150913088,reports\week2\baselines\band_diff_otsu\predictions\train\nantes.png,reports\week2\baselines\band_diff_otsu\difference_previews\train\nantes.png
