region,split,width,height,evaluated_pixels,ignored_pixels,true_positive,false_positive,false_negative,true_negative,precision,recall,f1_score,iou,accuracy,change_prevalence,predicted_change_fraction,prediction_path,magnitude_preview_path
abudhabi,train,785,799,627215,0,13723,197193,9869,406430,0.06506381687496444,0.5816802305866395,0.11703651901001245,0.0621554906356863,0.6698707779628995,0.03761389635133088,0.33627384549157785,reports\week2\baselines\cva_pca_kmeans\predictions\train\abudhabi.png,reports\week2\baselines\cva_pca_kmeans\magnitude_previews\train\abudhabi.png
aguasclaras,train,525,471,247275,0,1253,28916,3361,213745,0.04153269912824423,0.27156480277416556,0.07204668947474341,0.037369519832985386,0.8694692144373674,0.018659387321807705,0.12200586391669194,reports\week2\baselines\cva_pca_kmeans\predictions\train\aguasclaras.png,reports\week2\baselines\cva_pca_kmeans\magnitude_previews\train\aguasclaras.png
beihai,train,772,902,696344,0,9653,549248,7665,129778,0.017271395112909083,0.5573969280517381,0.03350462237447915,0.017037732585435766,0.2002329308502694,0.024869891892512895,0.8026219799409487,reports\week2\baselines\cva_pca_kmeans\predictions\train\beihai.png,reports\week2\baselines\cva_pca_kmeans\magnitude_previews\train\beihai.png
beirut,train,1070,1180,1262600,0,12747,1063140,21171,165542,0.011847898524659188,0.3758181496550504,0.022971603119466933,0.011619258051989958,0.14120782512276256,0.026863614763187074,0.8521202281007445,reports\week2\baselines\cva_pca_kmeans\predictions\train\beirut.png,reports\week2\baselines\cva_pca_kmeans\magnitude_previews\train\beirut.png
bercy,train,360,395,142200,0,308,14373,738,126781,0.020979497309447585,0.2944550669216061,0.03916830927703949,0.019975355081393087,0.8937341772151899,0.007355836849507736,0.10324191279887482,reports\week2\baselines\cva_pca_kmeans\predictions\train\bercy.png,reports\week2\baselines\cva_pca_kmeans\magnitude_previews\train\bercy.png
bordeaux,train,461,517,238337,0,1718,172717,662,63240,0.009848940866225241,0.7218487394957983,0.019432740434917852,0.009811704369578005,0.2725468559224963,0.009985860357393104,0.7318838451436411,reports\week2\baselines\cva_pca_kmeans\predictions\train\bordeaux.png,reports\week2\baselines\cva_pca_kmeans\magnitude_previews\train\bordeaux.png
cupertino,train,788,1015,799820,0,10812,465444,8130,315434,0.022702076194315662,0.5707950585999366,0.043667381532235594,0.02232104148344502,0.4078992773374009,0.0236828286364432,0.5954539771448576,reports\week2\baselines\cva_pca_kmeans\predictions\train\cupertino.png,reports\week2\baselines\cva_pca_kmeans\magnitude_previews\train\cupertino.png
hongkong,train,540,695,375300,0,2602,106171,10777,255750,0.02392137754773703,0.19448389266761343,0.04260265898225162,0.021764951902969468,0.6883879563016254,0.03564881428190781,0.2898294697575273,reports\week2\baselines\cva_pca_kmeans\predictions\train\hongkong.png,reports\week2\baselines\cva_pca_kmeans\magnitude_previews\train\hongkong.png
mumbai,train,557,858,477906,0,3593,165006,8651,300656,0.021310921179840923,0.2934498529892192,0.039736124704854485,0.02027080394922426,0.6366293789992175,0.025620101024050754,0.3527869497348851,reports\week2\baselines\cva_pca_kmeans\predictions\train\mumbai.png,reports\week2\baselines\cva_pca_kmeans\magnitude_previews\train\mumbai.png
nantes,train,582,522,303804,0,1464,142789,1985,157566,0.010148835726120081,0.424470861119165,0.019823699069748547,0.010011077832027242,0.5234624955563455,0.011352714249976959,0.47482258298113256,reports\week2\baselines\cva_pca_kmeans\predictions\train\nantes.png,reports\week2\baselines\cva_pca_kmeans\magnitude_previews\train\nantes.png
paris,train,390,408,159120,0,176,50635,282,108027,0.0034638168900434944,0.38427947598253276,0.006865747332696171,0.0034446988824300786,0.6800087983911514,0.0028783308195072903,0.3193250377073906,reports\week2\baselines\cva_pca_kmeans\predictions\train\paris.png,reports\week2\baselines\cva_pca_kmeans\magnitude_previews\train\paris.png
pisa,train,718,776,557168,0,6832,501572,2298,46466,0.013438131879371524,0.748302300109529,0.02640213010159719,0.013377664469690739,0.09565876001493266,0.016386439996554,0.9124788214685696,reports\week2\baselines\cva_pca_kmeans\predictions\train\pisa.png,reports\week2\baselines\cva_pca_kmeans\magnitude_previews\train\pisa.png
rennes,train,563,339,190857,0,1999,15257,2933,170668,0.11584376448771441,0.4053122465531225,0.18018748873264828,0.09901431472584081,0.904693042434912,0.025841336707587356,0.09041324132727645,reports\week2\baselines\cva_pca_kmeans\predictions\train\rennes.png,reports\week2\baselines\cva_pca_kmeans\magnitude_previews\train\rennes.png
saclay_e,train,688,639,439632,0,1532,70379,2814,364907,0.02130411202736716,0.35250805338242064,0.04017991790917555,0.020501840080294414,0.8335130290788659,0.009885540633984786,0.16357089565818686,reports\week2\baselines\cva_pca_kmeans\predictions\train\saclay_e.png,reports\week2\baselines\cva_pca_kmeans\magnitude_previews\train\saclay_e.png
brasilia,test,469,433,203077,0,531,10401,4711,187434,0.04857299670691548,0.10129721480351012,0.06566093730678867,0.03394489548040657,0.9255848766723952,0.02581286901027689,0.05383179779098569,reports\week2\baselines\cva_pca_kmeans\predictions\test\brasilia.png,reports\week2\baselines\cva_pca_kmeans\magnitude_previews\test\brasilia.png
chongqing,test,544,730,397120,0,17899,337598,10738,30885,0.05034922938871495,0.6250305548765583,0.09319143840430683,0.04887299138531271,0.12284448025785656,0.0721117042707494,0.8951878525382756,reports\week2\baselines\cva_pca_kmeans\predictions\test\chongqing.png,reports\week2\baselines\cva_pca_kmeans\magnitude_previews\test\chongqing.png
dubai,test,634,774,490716,0,33234,214179,15455,227848,0.13432600550496537,0.6825771734888784,0.2244767005964161,0.12642847360652495,0.5320429739401201,0.09922032295665925,0.5041877582960409,reports\week2\baselines\cva_pca_kmeans\predictions\test\dubai.png,reports\week2\baselines\cva_pca_kmeans\magnitude_previews\test\dubai.png
lasvegas,test,716,824,589984,0,37771,512978,7499,31736,0.06858115039700481,0.8343494588027391,0.1267442816420282,0.0676598930941087,0.11781166946900255,0.07673089439713619,0.9334981965612626,reports\week2\baselines\cva_pca_kmeans\predictions\test\lasvegas.png,reports\week2\baselines\cva_pca_kmeans\magnitude_previews\test\lasvegas.png
milano,test,558,545,304110,0,631,48913,1788,252778,0.012736153721944131,0.26085159156676313,0.024286511556299673,0.01229252707862542,0.8332807207918187,0.007954358620236099,0.16291473479990792,reports\week2\baselines\cva_pca_kmeans\predictions\test\milano.png,reports\week2\baselines\cva_pca_kmeans\magnitude_previews\test\milano.png
montpellier,test,451,426,192126,0,9019,139495,4035,39577,0.060728281508813986,0.6908993411981001,0.11164339473163003,0.059121987033674425,0.2529381759886741,0.06794499443073816,0.7730031333603989,reports\week2\baselines\cva_pca_kmeans\predictions\test\montpellier.png,reports\week2\baselines\cva_pca_kmeans\magnitude_previews\test\montpellier.png
norcia,test,385,241,92785,0,353,68111,874,23447,0.0051559943912129,0.28769356153219233,0.01013043291099281,0.005091003490149701,0.25650697849867976,0.013224120278062187,0.7378778897451097,reports\week2\baselines\cva_pca_kmeans\predictions\test\norcia.png,reports\week2\baselines\cva_pca_kmeans\magnitude_previews\test\norcia.png
rio,test,426,353,150378,0,4126,27237,4426,114589,0.1315562924465134,0.4824602432179607,0.20673932105724666,0.11528681997261729,0.7894439346180957,0.05687002088071393,0.20856109271302983,reports\week2\baselines\cva_pca_kmeans\predictions\test\rio.png,reports\week2\baselines\cva_pca_kmeans\magnitude_previews\test\rio.png
saclay_w,test,688,639,439632,0,2256,89123,2762,345491,0.024688385734140228,0.44958150657632523,0.04680643588493418,0.023964053919121316,0.7909956509080321,0.011414091785857262,0.2078533864686829,reports\week2\baselines\cva_pca_kmeans\predictions\test\saclay_w.png,reports\week2\baselines\cva_pca_kmeans\magnitude_previews\test\saclay_w.png
valencia,test,476,458,218008,0,637,193148,332,23891,0.003287148128080089,0.6573787409700722,0.006541585795413701,0.0032815260899354513,0.11250963267403032,0.004444791016843418,0.8888893985541815,reports\week2\baselines\cva_pca_kmeans\predictions\test\valencia.png,reports\week2\baselines\cva_pca_kmeans\magnitude_previews\test\valencia.png
